date,type,price,log_price
2016/1/27,GDEA,16.22,2.786245049
2016/1/28,GDEA,15.21,2.721953106
2016/1/29,GDEA,15.01,2.708716646
2016/2/15,GDEA,16.5,2.803360381
2016/2/24,GDEA,16.38,2.796061078
2016/2/25,GDEA,14.75,2.691243083
2016/2/26,GDEA,14.75,2.691243083
2016/2/29,GDEA,15.96,2.770085592
2016/3/2,GDEA,14.36,2.664446564
2016/3/9,GDEA,13.3,2.587764035
2016/3/10,GDEA,13.3,2.587764035
2016/3/11,GDEA,14.43,2.669309373
2016/3/14,GDEA,15.2,2.721295428
2016/3/15,GDEA,15.08,2.713369363
2016/3/16,GDEA,15.98,2.77133794
2016/3/22,GDEA,16.01,2.773213527
2016/3/24,GDEA,16.2,2.785011242
2016/3/29,GDEA,16.4,2.797281335
2016/3/30,GDEA,15.81,2.760642651
2016/3/31,GDEA,14.23,2.655352412
2016/4/1,GDEA,14.31,2.660958594
2016/4/6,GDEA,12.99,2.564179831
2016/4/7,GDEA,13.55,2.606386547
2016/4/8,GDEA,14.23,2.655352412
2016/4/11,GDEA,13.48,2.601207105
2016/4/12,GDEA,12.26,2.506341931
2016/4/13,GDEA,13.49,2.60194867
2016/4/14,GDEA,14.75,2.691243083
2016/4/15,GDEA,16.2,2.785011242
2016/4/18,GDEA,14.58,2.679650727
2016/4/19,GDEA,13.92,2.633326655
2016/4/20,GDEA,13.1,2.57261223
2016/4/21,GDEA,11.88,2.474856314
2016/4/22,GDEA,11.57,2.448415541
2016/4/25,GDEA,12.28,2.507971923
2016/4/26,GDEA,12.09,2.492378665
2016/4/27,GDEA,11.67,2.457021446
2016/4/28,GDEA,11,2.397895273
2016/4/29,GDEA,11.89,2.475697711
2016/5/3,GDEA,12.96,2.561867691
2016/5/4,GDEA,14.23,2.655352412
2016/5/5,GDEA,15.5,2.740840024
2016/5/9,GDEA,16.04,2.775085602
2016/5/10,GDEA,16.2,2.785011242
2016/5/11,GDEA,14.58,2.679650727
2016/5/12,GDEA,14.32,2.661657162
2016/5/13,GDEA,15.6,2.747270914
2016/5/16,GDEA,16.01,2.773213527
2016/5/18,GDEA,15,2.708050201
2016/5/19,GDEA,15.65,2.750470917
2016/5/20,GDEA,15.65,2.750470917
2016/5/23,GDEA,15.65,2.750470917
2016/5/24,GDEA,14.5,2.674148649
2016/5/25,GDEA,15.5,2.740840024
2016/5/27,GDEA,16.2,2.785011242
2016/5/30,GDEA,16.2,2.785011242
2016/5/31,GDEA,14.58,2.679650727
2016/6/1,GDEA,14.58,2.679650727
2016/6/2,GDEA,14.66,2.685122696
2016/6/3,GDEA,14.66,2.685122696
2016/6/6,GDEA,13.19,2.579458967
2016/6/7,GDEA,11.87,2.474014209
2016/6/8,GDEA,10.74,2.373975089
2016/6/12,GDEA,11.54,2.445819261
2016/6/13,GDEA,12.07,2.490723035
2016/6/14,GDEA,12.98,2.563409711
2016/6/15,GDEA,13,2.564949357
2016/6/16,GDEA,12.86,2.554121719
2016/6/17,GDEA,12.7,2.541601993
2016/6/18,GDEA,12.37,2.515274186
2016/6/19,GDEA,12.68,2.540025949
2016/6/20,GDEA,11.74,2.463001814
2016/6/21,GDEA,11.47,2.439734931
2016/6/22,GDEA,11,2.397895273
2016/6/23,GDEA,10.36,2.337952237
2016/6/24,GDEA,9.32,2.232162629
2016/6/27,GDEA,9.43,2.243896097
2016/6/28,GDEA,8.6,2.151762203
2016/6/29,GDEA,9.1,2.208274414
2016/6/30,GDEA,8.76,2.170195905
2016/7/1,GDEA,8.1,2.091864062
2016/7/4,GDEA,8.29,2.115049969
2016/7/6,GDEA,8.29,2.115049969
2016/7/7,GDEA,9.09,2.207174908
2016/7/8,GDEA,9.79,2.281361457
2016/7/11,GDEA,10.77,2.376764491
2016/7/12,GDEA,10.1,2.312535424
2016/7/13,GDEA,10.5,2.351375257
2016/7/14,GDEA,10,2.302585093
2016/7/18,GDEA,10.5,2.351375257
2016/7/19,GDEA,11.3,2.424802726
